strategy,fuel_consumed_kg,average_fuel_rate_kg_h,battery_ohmic_loss_kwh,recirculated_round_trip_loss_kwh,engine_off_fraction,restart_count,restart_count_status,initial_soc,terminal_soc,minimum_soc,maximum_soc,battery_energy_change_kwh,internal_ledger_energy_change_kwh,euler_energy_residual_kwh,target_battery_energy_change_kwh,terminal_energy_shortfall_kwh,battery_mode,battery_capacity_kwh,i_charge_max_a,i_discharge_max_a,terminal_voltage_min_v,terminal_voltage_max_v,q_nominal_ah,timestep_s,constraint_encounters,calibration_parameter_value,engine_shaft_power_mean_kw,engine_shaft_power_minimum_kw,engine_shaft_power_maximum_kw,strategy_construction,comparison,comparison_battery_mode,comparison_timestep_s,comparison_initial_soc,comparison_target_battery_energy_change_kwh,energy_match_tolerance_kwh,pi_s0_ratio_lower,pi_s0_ratio_upper,pi_s0_ratio_bracket_width,pi_endpoint_energy_bracket_width_kwh,pi_exact_match,pi_to_continuous_gap_kg_low,pi_to_continuous_gap_kg_high,pi_to_continuous_gap_fraction_low,pi_to_continuous_gap_fraction_high,pi_to_ideal_gap_kg_low,pi_to_ideal_gap_kg_high,pi_to_ideal_gap_fraction_low,pi_to_ideal_gap_fraction_high,cycling_benefit_captured_fraction_low,cycling_benefit_captured_fraction_high,fuel_gap_status,bracket_role
continuous,188.7969753358332,18.132800011127117,0.0,0.0,0.0,0,defined; engine remains running,0.559342988331593,0.559342988331593,0.559342988331593,0.559342988331593,0.0,0.0,0.0,0.0,-0.0,legacy,10.0,,,,,,60.0,[],,28.67410467604385,24.470380524434162,33.237381184629555,engine load-following; battery idle,charge_sustaining,legacy,60.0,0.559342988331593,0.0,1e-12,1.5657709765434262,1.5657709777355193,1.1920930909070648e-09,0.38302338460050667,False,22.4077497265107,22.653074562113915,0.1186870164982869,0.11998642733454012,-0.5528065356026559,-0.3074816999994425,-0.003316241481464116,-0.0018445577297989478,1.013913030359206,1.02501356702731,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,point
ideal_analytical_cycle,166.69670730932194,16.010203822262344,1.0703759301240496,1.070375930124058,0.2770255605885833,,undefined; duty fraction has no cycle period or SoC band,0.559342988331593,0.559342988331593,0.559342988331593,0.559342988331593,0.0,0.0,-0.0,0.0,-0.0,legacy,10.0,,,,,,60.0,"[{""direction"": ""charge"", ""first_time_s"": 17640.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.0, ""maximum_soc"": 0.559342988331593, ""minimum_power_kw"": 10.0, ""minimum_soc"": 0.559342988331593, ""timestep_count"": 625}]",,,,,relaxed charge-sustaining duty fractions; cycle period and restart count undefined,charge_sustaining,legacy,60.0,0.559342988331593,0.0,1e-12,1.5657709765434262,1.5657709777355193,1.1920930909070648e-09,0.38302338460050667,False,22.4077497265107,22.653074562113915,0.1186870164982869,0.11998642733454012,-0.5528065356026559,-0.3074816999994425,-0.003316241481464116,-0.0018445577297989478,1.013913030359206,1.02501356702731,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,relaxed_point
pi_ecms,166.14390077371928,15.957110120220264,1.0327901790290346,1.0247940233521717,0.279670662935447,175,defined from logged-step OFF-to-ON transitions,0.559342988331593,0.5389330642611841,0.5321489035781451,0.6899964070823779,-0.20696467894888482,-0.8090381051145101,0.6020734261656253,0.0,-0.20696467894888482,legacy,10.0,,,,,,60.0,"[{""direction"": ""charge"", ""first_time_s"": 17640.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.000000000000163, ""maximum_soc"": 0.674178213260334, ""minimum_power_kw"": 9.999999999999854, ""minimum_soc"": 0.5321489035781451, ""timestep_count"": 450}]",1.5657709765434262,28.697916337439185,0.0,44.317713594601855,unchanged PI-ECMS replay,charge_sustaining,legacy,60.0,0.559342988331593,0.0,1e-12,1.5657709765434262,1.5657709777355193,1.1920930909070648e-09,0.38302338460050667,False,22.4077497265107,22.653074562113915,0.1186870164982869,0.11998642733454012,-0.5528065356026559,-0.3074816999994425,-0.003316241481464116,-0.0018445577297989478,1.013913030359206,1.02501356702731,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,bracket_lower_ratio
pi_ecms,166.3892256093225,15.980672077046334,1.0309301021769068,1.026725555080219,0.27852734366495974,175,defined from logged-step OFF-to-ON transitions,0.559342988331593,0.5766134264890034,0.5321489035781451,0.6899964070823779,0.17605870565162185,-0.4252397295896344,0.6012984352412563,0.0,0.17605870565162185,legacy,10.0,,,,,,60.0,"[{""direction"": ""charge"", ""first_time_s"": 17640.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.000000000000163, ""maximum_soc"": 0.674178213260334, ""minimum_power_kw"": 9.999999999999854, ""minimum_soc"": 0.5321489035781451, ""timestep_count"": 451}]",1.5657709777355193,28.738562152616655,0.0,44.317713594601855,unchanged PI-ECMS replay,charge_sustaining,legacy,60.0,0.559342988331593,0.0,1e-12,1.5657709765434262,1.5657709777355193,1.1920930909070648e-09,0.38302338460050667,False,22.4077497265107,22.653074562113915,0.1186870164982869,0.11998642733454012,-0.5528065356026559,-0.3074816999994425,-0.003316241481464116,-0.0018445577297989478,1.013913030359206,1.02501356702731,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,bracket_upper_ratio
continuous,188.7969753358332,18.132800011127117,0.0,0.0,0.0,0,defined; engine remains running,0.559342988331593,0.559342988331593,0.559342988331593,0.559342988331593,0.0,0.0,0.0,0.0,-0.0,physical,10.0,28.571428571428573,85.71428571428572,242.5,407.4,28.571428571428573,60.0,[],,28.67410467604385,24.470380524434162,33.237381184629555,engine load-following; battery idle,charge_sustaining,physical,60.0,0.559342988331593,0.0,1e-12,1.5668647861480713,1.5668647873401642,1.19209286886246e-09,0.002957921794333629,False,22.74219241963965,22.74335077638011,0.12045845744713707,0.12046459290952147,-0.31330736619204913,-0.31214900945158774,-0.0018832310157169726,-0.0018762683535637804,1.013916558418688,1.0139682015082387,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,point
ideal_analytical_cycle,166.36693192564513,15.978530904461795,1.0928035222151589,1.0928035222151493,0.281190942789197,,undefined; duty fraction has no cycle period or SoC band,0.559342988331593,0.559342988331593,0.559342988331593,0.559342988331593,0.0,0.0,-0.0,0.0,-0.0,physical,10.0,28.571428571428573,85.71428571428572,242.5,407.4,28.571428571428573,60.0,"[{""direction"": ""charge"", ""first_time_s"": 17640.0, ""limit"": ""current"", ""maximum_power_kw"": 10.210367721763737, ""maximum_soc"": 0.559342988331593, ""minimum_power_kw"": 10.210367721763737, ""minimum_soc"": 0.559342988331593, ""timestep_count"": 625}]",,,,,relaxed charge-sustaining duty fractions; cycle period and restart count undefined,charge_sustaining,physical,60.0,0.559342988331593,0.0,1e-12,1.5668647861480713,1.5668647873401642,1.19209286886246e-09,0.002957921794333629,False,22.74219241963965,22.74335077638011,0.12045845744713707,0.12046459290952147,-0.31330736619204913,-0.31214900945158774,-0.0018832310157169726,-0.0018762683535637804,1.013916558418688,1.0139682015082387,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,relaxed_point
pi_ecms,166.05362455945308,15.948439639476922,1.071506743402649,1.071488335414685,0.2849302711055335,179,defined from logged-step OFF-to-ON transitions,0.559342988331593,0.5591613919784584,0.5368458281854488,0.7027102235714399,-0.0018467063360523284,-0.0018467063358968971,-1.5543122344752192e-13,0.0,-0.0018467063360523284,physical,10.0,28.571428571428573,85.71428571428572,242.5,407.4,28.571428571428573,60.0,"[{""direction"": ""charge"", ""first_time_s"": 17640.0, ""limit"": ""current"", ""maximum_power_kw"": 10.596178870068062, ""maximum_soc"": 0.6860435569047733, ""minimum_power_kw"": 10.169899645155706, ""minimum_soc"": 0.5368458281854488, ""timestep_count"": 447}]",1.5668647861480713,28.78793773316441,0.0,44.946534180647944,unchanged PI-ECMS replay,charge_sustaining,physical,60.0,0.559342988331593,0.0,1e-12,1.5668647861480713,1.5668647873401642,1.19209286886246e-09,0.002957921794333629,False,22.74219241963965,22.74335077638011,0.12045845744713707,0.12046459290952147,-0.31330736619204913,-0.31214900945158774,-0.0018832310157169726,-0.0018762683535637804,1.013916558418688,1.0139682015082387,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,bracket_lower_ratio
pi_ecms,166.05478291619355,15.948550892589314,1.0714527576033954,1.0714483726114707,0.2849302711055335,179,defined from logged-step OFF-to-ON transitions,0.559342988331593,0.5594522555311894,0.5371307024698659,0.7027102235714399,0.0011112154582813005,0.001111215458422521,-1.412203687323199e-13,0.0,0.0011112154582813005,physical,10.0,28.571428571428573,85.71428571428572,242.5,407.4,28.571428571428573,60.0,"[{""direction"": ""charge"", ""first_time_s"": 17640.0, ""limit"": ""current"", ""maximum_power_kw"": 10.596178870068062, ""maximum_soc"": 0.6860435569047733, ""minimum_power_kw"": 10.170713571682608, ""minimum_soc"": 0.5371307024698659, ""timestep_count"": 447}]",1.5668647873401642,28.78824676958771,0.0,44.946534180647944,unchanged PI-ECMS replay,charge_sustaining,physical,60.0,0.559342988331593,0.0,1e-12,1.5668647861480713,1.5668647873401642,1.19209286886246e-09,0.002957921794333629,False,22.74219241963965,22.74335077638011,0.12045845744713707,0.12046459290952147,-0.31330736619204913,-0.31214900945158774,-0.0018832310157169726,-0.0018762683535637804,1.013916558418688,1.0139682015082387,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,bracket_upper_ratio
continuous,188.79697533583325,18.13280001112712,0.0,0.0,0.0,0,defined; engine remains running,0.559342988331593,0.559342988331593,0.559342988331593,0.559342988331593,0.0,0.0,0.0,0.0,-0.0,legacy,10.0,,,,,,30.0,[],,28.674104676043832,24.470380524434162,33.237381184629555,engine load-following; battery idle,charge_sustaining,legacy,30.0,0.559342988331593,0.0,1e-12,1.567304408550262,1.5673044097423552,1.1920930909070648e-09,0.15324149633515116,False,22.291276682185526,22.38942482965129,0.11807009430386087,0.11858995510825764,-0.289156803140429,-0.19100865567466485,-0.0017346281627739035,-0.001145845402454346,1.0086428207769036,1.013083859561955,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,point
ideal_analytical_cycle,166.6967073093224,16.01020382226239,1.0703759301240496,1.070375930124058,0.27702556058858335,,undefined; duty fraction has no cycle period or SoC band,0.559342988331593,0.559342988331593,0.559342988331593,0.559342988331593,0.0,0.0,-0.0,0.0,-0.0,legacy,10.0,,,,,,30.0,"[{""direction"": ""charge"", ""first_time_s"": 17610.0, ""limit"": ""legacy_power"", ""maximum_power_kw"": 10.0, ""maximum_soc"": 0.559342988331593, ""minimum_power_kw"": 10.0, ""minimum_soc"": 0.559342988331593, ""timestep_count"": 1250}]",,,,,relaxed charge-sustaining duty fractions; cycle period and restart count undefined,charge_sustaining,legacy,30.0,0.559342988331593,0.0,1e-12,1.567304408550262,1.5673044097423552,1.1920930909070648e-09,0.15324149633515116,False,22.291276682185526,22.38942482965129,0.11807009430386087,0.11858995510825764,-0.289156803140429,-0.19100865567466485,-0.0017346281627739035,-0.001145845402454346,1.0086428207769036,1.013083859561955,valid bounded gap: the discontinuous PI endpoint energies straddle the target; neither bracket endpoint is reported as a point gap,relaxed_point
