comparison,battery_mode,timestep_s,strategy,bracket_role,s0_ratio,target_kwh,endpoint_energy_residual_kwh,fuel_consumed_kg,fuel_convergence_order,fuel_convergence_status,pi_to_continuous_gap_kg_low,pi_to_continuous_gap_kg_high,pi_to_ideal_gap_kg_low,pi_to_ideal_gap_kg_high,restart_count,restarts_per_flight_hour,restart_frequency_grows_monotonically
charge_sustaining,legacy,60.0,continuous,point,,0.0,-0.0,188.7969753358332,,roundoff-limited or unchanged across timestep,22.4077497265107,22.653074562113915,-0.5528065356026559,-0.3074816999994425,0,0.0,
charge_sustaining,legacy,60.0,ideal_analytical_cycle,relaxed_point,,0.0,-0.0,166.69670730932194,,roundoff-limited or unchanged across timestep,22.4077497265107,22.653074562113915,-0.5528065356026559,-0.3074816999994425,,,
charge_sustaining,legacy,60.0,pi_ecms,bracket_lower_ratio,1.5657709765434262,0.0,-0.20696467894888482,166.14390077371928,1.3575125822371237,observed three-level order,22.4077497265107,22.653074562113915,-0.5528065356026559,-0.3074816999994425,175,16.807684531506222,True
charge_sustaining,legacy,60.0,pi_ecms,bracket_upper_ratio,1.5657709777355193,0.0,0.17605870565162185,166.3892256093225,0.5723461926010637,observed three-level order,22.4077497265107,22.653074562113915,-0.5528065356026559,-0.3074816999994425,175,16.807684531506222,True
mission_depleting,legacy,60.0,continuous,point,0.450382578689681,-4.689742503060938,-4.227729277772596e-13,186.92643518811775,0.9998065536431395,observed three-level order,23.319420046793056,23.319420046793056,-0.0807653102417305,-0.0807653102417305,0,0.0,
mission_depleting,legacy,60.0,ideal_analytical_cycle,relaxed_point,,-4.689742503060938,1.9539925233402755e-14,163.68778045156643,0.9904712038730394,observed three-level order,23.319420046793056,23.319420046793056,-0.0807653102417305,-0.0807653102417305,,,
mission_depleting,legacy,60.0,pi_ecms,point,1.0,-4.689742503060938,0.0,163.6070151413247,,undefined; requires the 60/30/15 s series,23.319420046793056,23.319420046793056,-0.0807653102417305,-0.0807653102417305,174,16.711640619897615,True
charge_sustaining,physical,60.0,continuous,point,,0.0,-0.0,188.7969753358332,,roundoff-limited or unchanged across timestep,22.74219241963965,22.74335077638011,-0.31330736619204913,-0.31214900945158774,0,0.0,
charge_sustaining,physical,60.0,ideal_analytical_cycle,relaxed_point,,0.0,-0.0,166.36693192564513,,roundoff-limited or unchanged across timestep,22.74219241963965,22.74335077638011,-0.31330736619204913,-0.31214900945158774,,,
charge_sustaining,physical,60.0,pi_ecms,bracket_lower_ratio,1.5668647861480713,0.0,-0.0018467063360523284,166.05362455945308,,undefined; successive fuel differences change sign,22.74219241963965,22.74335077638011,-0.31330736619204913,-0.31214900945158774,179,17.19186017794065,True
charge_sustaining,physical,60.0,pi_ecms,bracket_upper_ratio,1.5668647873401642,0.0,0.0011112154582813005,166.05478291619355,,undefined; successive fuel differences change sign,22.74219241963965,22.74335077638011,-0.31330736619204913,-0.31214900945158774,179,17.19186017794065,True
mission_depleting,physical,60.0,continuous,point,0.4503285379958959,-4.689742503060938,4.75175454539567e-13,186.92665963127368,,roundoff-limited or unchanged across timestep,21.480710941827994,21.481208413253057,2.0626604005645106,2.0631578719895742,0,0.0,
mission_depleting,physical,60.0,ideal_analytical_cycle,relaxed_point,,-4.689742503060938,-3.161915174132446e-13,163.3827908174561,1.9623078326541255,observed three-level order,21.480710941827994,21.481208413253057,2.0626604005645106,2.0631578719895742,,,
mission_depleting,physical,60.0,pi_ecms,bracket_lower_ratio,0.9613407886028289,-4.689742503060938,-0.04894482045681681,165.4459486894457,,undefined; successive fuel differences change sign,21.480710941827994,21.481208413253057,2.0626604005645106,2.0631578719895742,169,16.23142106185458,True
mission_depleting,physical,60.0,pi_ecms,bracket_upper_ratio,0.9613407897949218,-4.689742503060938,0.040113198188239885,165.44545121802062,0.5756080972131336,observed three-level order,21.480710941827994,21.481208413253057,2.0626604005645106,2.0631578719895742,170,16.327464973463186,True
charge_sustaining,legacy,30.0,continuous,point,,0.0,-0.0,188.79697533583325,,roundoff-limited or unchanged across timestep,22.291276682185526,22.38942482965129,-0.289156803140429,-0.19100865567466485,0,0.0,
charge_sustaining,legacy,30.0,ideal_analytical_cycle,relaxed_point,,0.0,-0.0,166.6967073093224,,roundoff-limited or unchanged across timestep,22.291276682185526,22.38942482965129,-0.289156803140429,-0.19100865567466485,,,
