controller,phase,start_time_s,end_time_s,duration_s,start_fuel_kg,end_fuel_kg,fuel_consumed_kg,mean_fuel_rate_kg_h,start_soc,end_soc,start_stored_energy_kwh,end_stored_energy_kwh,stored_energy_change_kwh,engine_off_fraction,restart_count,regime_time_s_json
frozen_pi_ecms,takeoff,0.0,120.0,120.0,288.6101983109414,288.19365845346135,0.4165398574800747,12.496195724402241,1.0,0.9304308154457743,10.0,9.21183770715105,-0.7881622928489502,0.0,0,{}
frozen_pi_ecms,climb,120.0,1620.0,1500.0,288.19365845346135,274.3994641110765,13.794194342384856,33.10606642172365,0.9304308154457743,0.3064140633658288,9.21183770715105,2.7605342263190447,-6.451303480832005,0.0,0,{}
frozen_pi_ecms,cruise,1620.0,5220.0,3600.0,274.3994641110765,243.4019891736088,30.9974749374677,30.9974749374677,0.3064140633658288,0.5931880693214574,2.7605342263190447,5.5871435735915185,2.826609347272474,0.0,0,{}
frozen_pi_ecms,loiter,5220.0,55062.85487028608,49842.85487028608,243.4019891736088,9.7,233.7019891736088,16.879594140715056,0.5931880693214574,0.06367471452871735,5.5871435735915185,0.5515753663465969,-5.035568207244921,0.21908857404775145,174,{}
frozen_pi_ecms,descent,55062.85487028608,56062.85487028608,1000.0,9.7,6.149558540895973,3.550441459104026,12.781589252774493,0.06367471452871735,0.06465647313063135,0.5515753663465969,0.5601704261449717,0.008595059798374827,0.34,5,{}
frozen_pi_ecms,landing,56062.85487028608,56182.85487028608,120.0,6.149558540895973,5.442922783353511,0.706635757542462,21.19907272627386,0.06465647313063135,0.10240932167286913,0.5601704261449717,0.8927765702895886,0.33260614414461687,0.0,1,{}
untuned_thermostat,takeoff,0.0,120.0,120.0,288.6101983109414,287.8802807972296,0.7299175137118254,21.897525411354763,1.0,1.0,10.0,10.0,0.0,0.0,0,"{""continuous_engine"": 120.0}"
untuned_thermostat,climb,120.0,1620.0,1500.0,287.8802807972296,272.97404001832206,14.906240778907545,35.774977869378105,1.0,0.6695007762201075,10.0,6.378908495257102,-3.621091504742898,0.0,0,"{""battery_assisted"": 1500.0}"
untuned_thermostat,cruise,1620.0,5220.0,3600.0,272.97404001832206,243.1123569839875,29.86168303433456,29.86168303433456,0.6695007762201075,0.6695007762201075,6.378908495257102,6.378908495257102,0.0,0.0,0,"{""continuous_engine"": 3600.0}"
untuned_thermostat,loiter,5220.0,54494.32539909772,49274.32539909772,243.1123569839875,9.7,233.4123569839875,17.05319105510761,0.6695007762201075,0.5749302049204896,6.378908495257102,5.400179957218363,-0.9787285380387392,0.21065737411780117,32,"{""continuous_engine"": 12300.0, ""cycling"": 36974.32539909772}"
untuned_thermostat,descent,54494.32539909772,55494.32539909772,1000.0,9.7,6.819299166461335,2.880700833538664,10.37052300073919,0.5749302049204896,0.4855229685839105,5.400179957218363,4.498386235037137,-0.9017937221812256,0.48,1,"{""cycling"": 1000.0}"
untuned_thermostat,landing,55494.32539909772,55614.32539909772,120.0,6.819299166461335,6.112466123543756,0.7068330429175793,21.20499128752738,0.4855229685839105,0.5187794330353487,4.498386235037137,4.831155283360815,0.3327690483236774,0.0,0,"{""cycling"": 120.0}"
